claim_id,dealer_id,supplier_id,part_name,failure_type,claim_amount,repair_cost,claim_frequency,days_since_last_claim,failure_severity,fraud_label,fraud_prediction,fraud_probability
CLM00000,1102,SUP-058,Fuel/Water Separator,Misalignment,38372,623,6,315,5,0,0,0.03028449
CLM00001,1435,SUP-023,Brake Chamber,Wear,18947,18657,7,291,8,0,0,0.0015939143
CLM00002,1860,SUP-054,V-Belt,Misalignment,31735,25997,1,246,6,0,0,0.017850893
CLM00003,1270,SUP-080,Wheel Bearing,Corrosion,30196,2677,10,240,6,0,0,0.012342246
CLM00004,1106,SUP-065,Wheel Speed Sensor,Misalignment,23727,23773,15,272,3,0,0,0.0015874082
CLM00005,1071,SUP-012,Radiator Hose,Leak,43167,18387,14,142,8,0,0,0.03510564
CLM00006,1700,SUP-024,V-Belt,Wear,25884,14543,4,5,1,0,0,0.0014592826
CLM00007,1020,SUP-034,V-Belt,Corrosion,35607,15609,4,336,4,0,0,0.025903227
CLM00008,1614,SUP-053,Relay Valve,Breakage,8675,6161,9,277,8,0,0,0.0016301787
CLM00009,1121,SUP-008,Relay Valve,Sensor Failure,45312,23978,15,314,6,0,0,0.036719237
CLM00010,1466,SUP-018,Wheel Speed Sensor,Misalignment,41769,26928,12,57,9,0,0,0.03695692
CLM00011,1214,SUP-057,Wheel Speed Sensor,Misalignment,10575,2624,9,139,1,0,0,0.0015742471
CLM00012,1330,SUP-005,Wheel Speed Sensor,Corrosion,36074,3754,3,327,2,0,0,0.025996799
CLM00013,1458,SUP-026,V-Belt,Sensor Failure,47998,2913,15,121,1,0,0,0.033843778
CLM00014,1087,SUP-030,Fuel/Water Separator,Misalignment,26756,21271,11,177,4,0,0,0.0016524347
CLM00015,1372,SUP-054,Air Filter,Breakage,11664,6589,6,364,9,0,0,0.0015307278
CLM00016,1099,SUP-013,Air Filter,Corrosion,16114,6333,15,161,4,0,0,0.0015281186
CLM00017,1871,SUP-083,Air Filter,Leak,22524,16248,7,152,9,0,0,0.001527945
CLM00018,1663,SUP-029,Wheel Bearing,Wear,12159,17040,19,38,6,0,0,0.07254923
CLM00019,1130,SUP-003,Wheel Bearing,Breakage,14299,9815,14,335,5,0,0,0.0016607872
CLM00020,1661,SUP-090,Wheel Speed Sensor,Sensor Failure,29032,21887,4,50,4,0,0,0.0016413918
CLM00021,1308,SUP-058,Air Filter,Sensor Failure,42397,6253,1,235,2,0,0,0.02999922
CLM00022,1769,SUP-076,Brake Chamber,Breakage,1455,17801,13,89,8,0,0,0.0015758227
CLM00023,1343,SUP-002,Relay Valve,Leak,43529,14638,11,64,3,0,0,0.031978443
CLM00024,1491,SUP-075,Brake Chamber,Misalignment,43578,6753,18,209,1,1,1,99.8725
CLM00025,1413,SUP-028,Air Filter,Leak,45572,2202,9,225,7,0,0,0.03036958
CLM00026,1805,SUP-082,Air Filter,Misalignment,35280,2165,11,167,8,0,0,0.03487846
CLM00027,1385,SUP-077,Relay Valve,Misalignment,5738,22273,6,202,7,0,0,0.0015831646
CLM00028,1191,SUP-086,Air Filter,Sensor Failure,33266,12925,16,142,4,1,1,99.694916
CLM00029,1955,SUP-076,Radiator Hose,Misalignment,17775,24047,5,337,8,0,0,0.0016055668
CLM00030,1276,SUP-002,V-Belt,Breakage,36389,6307,1,78,4,0,0,0.03356871
CLM00031,1160,SUP-007,Relay Valve,Misalignment,16718,18995,14,10,5,0,0,0.0015999193
CLM00032,1459,SUP-026,Air Filter,Breakage,7176,20598,19,248,8,0,0,0.074358515
CLM00033,1313,SUP-090,Wheel Bearing,Wear,49263,27630,6,44,2,0,0,0.033137307
CLM00034,1021,SUP-088,Wheel Bearing,Sensor Failure,10112,7483,12,296,8,0,0,0.0015340116
CLM00035,1252,SUP-076,V-Belt,Leak,23103,21994,7,109,5,0,0,0.0016137195
CLM00036,1747,SUP-016,Wheel Bearing,Corrosion,39809,11716,10,188,5,0,0,0.033877637
CLM00037,1856,SUP-023,U-Joint,Leak,28033,12727,10,70,7,0,0,0.0015182396
CLM00038,1560,SUP-040,U-Joint,Leak,20984,27912,13,232,4,0,0,0.0015907603
CLM00039,1474,SUP-060,U-Joint,Corrosion,32742,2897,7,31,3,0,0,0.030457467
CLM00040,1058,SUP-073,V-Belt,Sensor Failure,38978,27270,19,293,6,1,1,99.88066
CLM00041,1510,SUP-032,V-Belt,Misalignment,5508,5954,1,186,6,0,0,0.0015826119
CLM00042,1681,SUP-015,Relay Valve,Wear,40210,18439,15,171,6,0,0,0.03405603
CLM00043,1475,SUP-013,Wheel Speed Sensor,Leak,7216,16685,14,109,7,0,0,0.0014946132
CLM00044,1699,SUP-005,U-Joint,Misalignment,25269,28701,13,97,4,0,0,0.0016177552
CLM00045,1975,SUP-075,Wheel Bearing,Leak,1260,11601,7,327,3,0,0,0.0014975254
CLM00046,1782,SUP-074,Brake Chamber,Sensor Failure,7833,16765,12,38,3,0,0,0.001494723
CLM00047,1189,SUP-052,Wheel Speed Sensor,Sensor Failure,10527,5002,8,264,3,0,0,0.0015477128
CLM00048,1957,SUP-077,Relay Valve,Breakage,47014,843,15,290,2,0,0,0.02705026
CLM00049,1686,SUP-041,Wheel Bearing,Sensor Failure,6944,13439,17,145,6,0,0,0.07414031
CLM00050,1957,SUP-053,Air Filter,Sensor Failure,23518,2044,12,17,1,0,0,0.0014711583
CLM00051,1562,SUP-050,Relay Valve,Leak,24259,16450,13,94,6,0,0,0.0014939635
CLM00052,1875,SUP-015,U-Joint,Wear,30860,4496,8,338,8,0,0,0.0144389095
CLM00053,1566,SUP-007,U-Joint,Leak,32559,16519,10,53,6,0,0,0.026488965
CLM00054,1243,SUP-040,Air Filter,Misalignment,34102,23732,7,320,2,0,0,0.03219957
CLM00055,1831,SUP-028,Fuel/Water Separator,Sensor Failure,8669,27894,2,109,7,0,0,0.0016246242
CLM00056,1504,SUP-032,Relay Valve,Breakage,36547,25114,16,57,3,1,1,99.71637
CLM00057,1130,SUP-099,Air Filter,Wear,26379,4882,4,148,9,0,0,0.0016303917
CLM00058,1484,SUP-015,V-Belt,Breakage,24712,8546,6,61,8,0,0,0.001482906
CLM00059,1818,SUP-100,Relay Valve,Corrosion,20191,5486,7,25,6,0,0,0.001600197
CLM00060,1646,SUP-085,Wheel Bearing,Breakage,14259,13449,19,78,1,0,0,0.057127267
CLM00061,1020,SUP-070,Fuel/Water Separator,Breakage,38958,20307,4,27,2,0,0,0.02864092
CLM00062,1840,SUP-065,Radiator Hose,Misalignment,26516,9720,10,99,8,0,0,0.001561359
CLM00063,1166,SUP-004,Brake Chamber,Sensor Failure,36931,735,4,28,6,0,0,0.03496192
CLM00064,1273,SUP-011,Relay Valve,Misalignment,10094,8493,5,134,1,0,0,0.0014836994
CLM00065,1387,SUP-026,Wheel Speed Sensor,Sensor Failure,12624,26044,14,297,9,0,0,0.0015710677
CLM00066,1600,SUP-061,V-Belt,Misalignment,24872,15336,11,315,8,0,0,0.0015788568
CLM00067,1315,SUP-037,Air Filter,Sensor Failure,33791,5724,2,223,2,0,0,0.032034136
CLM00068,1013,SUP-023,U-Joint,Sensor Failure,5652,18114,9,334,5,0,0,0.0015503245
CLM00069,1241,SUP-093,Air Filter,Sensor Failure,36516,738,12,189,3,0,0,0.031297784
CLM00070,1776,SUP-085,Air Filter,Breakage,26972,26930,1,305,1,0,0,0.0015971141
CLM00071,1345,SUP-091,Fuel/Water Separator,Corrosion,9095,21808,15,364,7,0,0,0.0015502357
CLM00072,1564,SUP-040,Relay Valve,Sensor Failure,4357,551,6,356,9,0,0,0.0015204084
CLM00073,1897,SUP-077,Air Filter,Corrosion,13096,27231,17,261,7,0,0,0.07229518
CLM00074,1339,SUP-023,Fuel/Water Separator,Corrosion,9095,10072,15,267,3,0,0,0.00147195
CLM00075,1091,SUP-016,Radiator Hose,Leak,11680,1556,14,342,6,0,0,0.0015950623
CLM00076,1366,SUP-094,Wheel Bearing,Leak,41851,25097,19,235,3,1,1,99.8828
CLM00077,1955,SUP-061,Radiator Hose,Wear,29242,8998,9,40,4,0,0,0.0015606162
CLM00078,1454,SUP-068,Relay Valve,Misalignment,27333,12798,3,114,1,0,0,0.001485883
